机构名称,网址,地点,邮箱,负责人
ACG Parnell College,www.acgedu.com,New Zealand,parnellcollege@acgedu.com,Mr Damian Watson
ACG Strathallan,,New Zealand,strathallan@acgedu.com,Mr Danny O'Connor
ACG Tauranga,www.tauranga.acgedu.com,New Zealand,acgtauranga@acgedu.com,Mrs Thea Kilian
AGE School (Academy for Gifted Education),www.age.school.nz,New Zealand,info@age.school.nz,AGE School (Academy for Gifted Education)
Aidanfield Christian School,,New Zealand,office@aidanfield.school.nz,Mr Mark Richardson
Akaroa Area School,,New Zealand,aasoffice@akaroa.school.nz,Mr Jon Keelty
Albany Junior High School,,New Zealand,office@ajhs.school.nz,Mrs Cushla Shepherd
Albany Senior High School,www.ashs.school.nz/,New Zealand,info@ashs.school.nz,Mr Hamish Chalmers
Alfriston College,,New Zealand,admin@alfristoncollege.school.nz,Mrs Kylee Jefferies
Madinah School,,New Zealand,info@al-madinah.school.nz,Mr Asin Ali
Ambury Park Centre Incorporated,,New Zealand,office@amburyparkcentre.org.nz,Ms Patricia Simeon
Amuri Area School,,New Zealand,office@amuri.school.nz,Mr Matt Barlow
Ao Tawhiti Unlimited Discovery,,New Zealand,office@aotawhiti.school.nz,Ms Anita Yarwood
Aorere College,,New Zealand,office@aorere.ac.nz,Leanne Webb
Aotea College,www.aotea.school.nz,New Zealand,enquiries@aotea.school.nz,Mr Jason White
Aparima College,,New Zealand,office@aparima.school.nz,Miss Aloma Williams
Aquinas College,,New Zealand,admin@aquinas.school.nz,Mr Matthew Dalton
Ara Institute of Canterbury,www.ara.ac.nz,New Zealand,info@ara.ac.nz,Dan Gread
Arahunga School,www.arahunga.co.nz,New Zealand,arahungaoffice@welearn.school.nz,Shirley Wisnewski
Araura College,,New Zealand,principal@araura.edu.ck,Mr Jason Kora
Ashburton Christian School,www.acs.school.nz,New Zealand,office@acs.school.nz,Mr Simon Bisseker
Ashburton College,,New Zealand,info@ashcoll.school.nz,Mr Simon Coleman
Atea College,www.ateacollege.com,New Zealand,admin@ateacollege.com,Mrs Eunice Hall
Auckland Girls' Grammar School,,New Zealand,admin@aggs.school.nz,Ms Ngaire Ashmore
Auckland Grammar School,www.ags.school.nz,New Zealand,admin@ags.school.nz,Mr Tim O'Connor
Auckland Montessori College,www.peace.school.nz,New Zealand,steven@peace.school.nz,Mr Steven Arnold
Day Adventist High School,,New Zealand,info@asdah.school.nz,Mrs Gloria Teulilo
Aurora College,,New Zealand,office@auroracollege.school.nz,Mr Craig Taylor
Avondale College,,New Zealand,admin@avcol.school.nz,Lyndy Watkinson
Avonside Girls' High School,www.avonside.school.nz,New Zealand,principal@avonside.school.nz,Mrs Melanie McRandle
Awatapu College,,New Zealand,office@awatapu.school.nz,Mr Gary Yeatman
Baradene College of the Sacred Heart,,New Zealand,spasley@baradene.school.nz,Mrs Alexandra Russell
Barnardos (Te Poutama Arahi Rangatahi),www.barnardos.org.nz,New Zealand,tim.morgan@barnardos.org.nz,Tim Morgan
Bay of Islands College,,New Zealand,info@boic.school.nz,Mrs Edith Davis
Bayfield High School,,New Zealand,admin@bayfield-high.school.nz,Mr Mark Jones
Bethlehem College,,New Zealand,office@beth.school.nz,Mr Larne Edmeades
Birkenhead College,www.birkenhead.school.nz,New Zealand,office@birkenhead.school.nz,Craig Waller
Bishop Viard College,,New Zealand,office@viard.school.nz,Mr Chris Theobald
Blind and Low Vision Education Network NZ,,New Zealand,admin@blennz.school.nz,Mr Saul Taylor
Blue Mountain College,,New Zealand,pdavies@bmc.school.nz,Mr Janelle Eason
Botany Downs Secondary College,,New Zealand,admin@bdsc.school.nz,Mrs Karen Brinsden
Bream Bay College,www.breambaycollege.school.nz,New Zealand,jcosgrove@breambaycollege.school.nz,Julian Cosgrove
Manganuiowae,,New Zealand,admin@broadwood.school.nz,Danelle Smith
Buller High School,,New Zealand,office@buller.ac.nz,Mr Andrew Basher
Burnside High School,,New Zealand,admin@burnside.school.nz,Mr Scott Haines
Cambridge High School,,New Zealand,CHS1stcontact@camhigh.school.nz,Mr Greg Thornton
Campion College,,New Zealand,campion@campioncollege.school.nz,Mrs Karyn Sadler
Canterbury International College Limited (School),www.canic.ac.nz,New Zealand,admin@canic.ac.nz,Mr Bruce Henley
Carmel College,,New Zealand,admin@carmel.school.nz,Ms Sarah Kemble
Cashmere High School,www.cashmere.school.nz,New Zealand,office@cashmere.school.nz,Mr John Stradwick
Catholic Cathedral College,,New Zealand,admin@cathcollege.school.nz,Ms Lee-Ann Nanai-Stewart
Central Hawke's Bay College,,New Zealand,office@chbc.school.nz,Lance Christiansen
Central Regional Health School,,New Zealand,admin@crhs.school.nz,Central Regional Health School
Central Southland College,www.csc.school.nz,New Zealand,office@csc.school.nz,Mr Grant Dick
Chanel College,,New Zealand,admin@chanelcollege.school.nz,Mr Chris Senior
